,name,broad_category,category,description,history,famous_view,image_1,image_2,image_3,image_4,image_5,location,best_time,entry_fee,rating,latitude,longitude,source,search_text
0,Red Fort (Lal Qila),Historical Forts & Monuments,Historical Fort / UNESCO Heritage,An iconic 17th-century Mughal fortress constructed from red sandstone that served as the primary residence of Mughal emperors for nearly two centuries.,"Commissioned in 1638 by Emperor Shah Jahan when he shifted the Mughal capital from Agra to Delhi (Shahjahanabad). Designed by architect Ustad Ahmad Lahori and completed in 1648, the fort witnessed the zenith of Mughal glory, Nadir Shah's 1739 plunder of the Peacock Throne, British colonial transformation after the 1857 Rebellion, and the 1945 INA trials. On 15 August 1947, Jawaharlal Nehru unfurled the National Flag from Lahori Gate, starting an annual Independence Day tradition.",Frontal panoramic perspective of the massive octagonal Lahori Gate towers and ramparts viewed from the Netaji Subhash Marg esplanade.,images/0/image_1.jpeg,images/0/image_2.webp,images/0/image_3.jpeg,images/0/image_4.jpeg,images/0/image_5.jpeg,"Netaji Subhash Marg, Chandni Chowk, Old Delhi",October to March (9:00 AM – 11:00 AM or 6:30 PM Sound & Light Show),"₹35 (Indians), ₹500 (Foreigners)",4.6,28.6562,77.241,Archaeological Survey of India (ASI) / Delhi Tourism,"Name: Red Fort (Lal Qila). Category: Historical Fort / UNESCO Heritage. Description: An iconic 17th-century Mughal fortress constructed from red sandstone that served as the primary residence of Mughal emperors for nearly two centuries.. Location: Netaji Subhash Marg, Chandni Chowk, Old Delhi. Best Time: October to March (9:00 AM – 11:00 AM or 6:30 PM Sound & Light Show)."
1,Qutab Minar,Heritage & Leisure,Historical Monument / UNESCO Heritage,"A 72.5-meter tall five-storey fluted minaret made of red sandstone and marble, representing early Indo-Islamic architectural supremacy.","Initiated in 1199 AD by Qutb-ud-din Aibak, founder of the Delhi Sultanate, following the defeat of the Tomar Rajputs. Sultan Shams-ud-din Iltutmish added three storeys around 1220. Following lightning damage in 1368, Sultan Firoz Shah Tughlaq rebuilt the upper levels using white marble and sandstone. The complex also features the rust-resistant 4th-century Iron Pillar of Chandragupta II and the 1311 Alai Darwaza.",Low-angle viewpoint framing the vertical tiers of the Minar through the arched colonnade ruins of the Quwwat-ul-Islam Mosque.,images/1/image_1.jpeg,images/1/image_2.jpeg,images/1/image_3.jpeg,images/1/image_4.jpeg,images/1/image_5.jpeg,"Mehrauli, South Delhi","October to March (Late afternoon golden hour, 4:00 PM – 6:00 PM)","₹35 (Indians), ₹550 (Foreigners)",4.6,28.5245,77.1855,Archaeological Survey of India (ASI) / Delhi Tourism,"Name: Qutab Minar. Category: Historical Monument / UNESCO Heritage. Description: A 72.5-meter tall five-storey fluted minaret made of red sandstone and marble, representing early Indo-Islamic architectural supremacy.. Location: Mehrauli, South Delhi. Best Time: October to March (Late afternoon golden hour, 4:00 PM – 6:00 PM)."
2,Humayun's Tomb,Historical Forts & Monuments,Historical Mausoleum / UNESCO Heritage,"The first grand garden-tomb on the Indian subcontinent, combining Persian symmetry with Indian stone carving traditions.","Commissioned in 1558 by Empress Bega Begum (Haji Begum) in memory of her late husband, Emperor Humayun. Designed by Persian architect Mirak Mirza Ghiyas and completed in 1572, it introduced the Persian Charbagh (four-fold garden) concept with causeways and geometric water channels to India. It provided shelter to the last Mughal ruler Bahadur Shah Zafar before his capture by the British in 1857.",Classic symmetrical axial view from the southern central garden walkway reflecting the grand double-domed mausoleum in the water channel.,images/2/image_1.jpg,images/2/image_2.jpg,images/2/image_3.jpg,images/2/image_4.jpg,images/2/image_5.jpg,"Mathura Road, Nizamuddin East, South East Delhi",October to March (Sunrise 7:00 AM – 9:00 AM or sunset),"₹35 (Indians), ₹550 (Foreigners)",4.6,28.5933,77.2507,Archaeological Survey of India (ASI) / Delhi Tourism,"Name: Humayun's Tomb. Category: Historical Mausoleum / UNESCO Heritage. Description: The first grand garden-tomb on the Indian subcontinent, combining Persian symmetry with Indian stone carving traditions.. Location: Mathura Road, Nizamuddin East, South East Delhi. Best Time: October to March (Sunrise 7:00 AM – 9:00 AM or sunset)."
3,Purana Qila (Old Fort),Historical Forts & Monuments,Historical Fort & Archaeological Site,An imposing 16th-century fortress standing on an ancient mound historically associated with Indraprastha from the Mahabharata epic.,"Rebuilt by Sher Shah Suri after defeating Humayun in 1540, completing the Qila-i-Kuhna Mosque and the octagonal Sher Mandal library tower. Humayun regained control in 1555 but fatally fell down the steep stone stairs of Sher Mandal in 1556. Archaeological excavations led by B.B. Lal revealed Painted Grey Ware pottery dating back to 1000 BCE, linking the site directly to ancient Indraprastha. During the 1947 Partition, it functioned as a major refugee camp.",West gate (Bada Darwaza) reflection mirrored on the adjacent tranquil lake waters during evening illumination.,images/3/image_1.jpg,images/3/image_2.jpg,images/3/image_3.jpg,images/3/image_4.JPG,images/3/image_5.jpg,"Mathura Road, Near Delhi Zoo, Central New Delhi",October to March (Morning 9:00 AM – 11:30 AM or Evening Sound & Light show),"₹20 (Indians), ₹250 (Foreigners)",4.4,28.6096,77.2435,Archaeological Survey of India (ASI),"Name: Purana Qila (Old Fort). Category: Historical Fort & Archaeological Site. Description: An imposing 16th-century fortress standing on an ancient mound historically associated with Indraprastha from the Mahabharata epic.. Location: Mathura Road, Near Delhi Zoo, Central New Delhi. Best Time: October to March (Morning 9:00 AM – 11:30 AM or Evening Sound & Light show)."
4,Tughlaqabad Fort,Historical Forts & Monuments,Historical Fort / Ruins,"A massive, ruined stone fortress spanning over 6 km with monumental sloping stone ramparts, battlements, and the mausoleum of Ghiyas-ud-din Tughlaq.","Built between 1321 and 1325 AD by Ghiyas-ud-din Tughlaq, founder of the Tughlaq dynasty, as the fortified third city of Delhi to repel Mongol incursions. Legend recounts that Sufi saint Nizamuddin Auliya cursed the fort ('Ya rahey hissar, ya basey Gujjar' — may it remain barren or inhabited only by nomadic Gujjars) after the Sultan requisitioned workers who were digging the saint's stepwell. The fortress was abandoned shortly after Ghiyas-ud-din's demise.",Panoramic view from the highest rampart bastion looking out across the dry moat towards the white marble-domed tomb of Ghiyas-ud-din Tughlaq.,images/4/image_1.jpg,images/4/image_2.jpg,images/4/image_3.JPG,images/4/image_4.jpg,images/4/image_5.jpg,"Tughlaqabad Institutional Area, South Delhi",November to February (Early morning 7:30 AM – 10:00 AM),"₹20 (Indians), ₹250 (Foreigners)",4.3,28.5122,77.26,Archaeological Survey of India (ASI),"Name: Tughlaqabad Fort. Category: Historical Fort / Ruins. Description: A massive, ruined stone fortress spanning over 6 km with monumental sloping stone ramparts, battlements, and the mausoleum of Ghiyas-ud-din Tughlaq.. Location: Tughlaqabad Institutional Area, South Delhi. Best Time: November to February (Early morning 7:30 AM – 10:00 AM)."
5,Feroz Shah Kotla Fort,Historical Forts & Monuments,Historical Fort & Ashokan Pillar,"The 14th-century citadel of Firozabad featuring the 3rd-century BCE Ashokan Stone Pillar, Jama Masjid ruins, and a circular stepped baoli.","Constructed in 1354 AD by Sultan Firoz Shah Tughlaq when he founded Firozabad, the fifth city of Delhi, alongside the Yamuna river. Firoz Shah transported a 13-meter monolithic polished sandstone Ashokan Pillar from Topra in Haryana and installed it atop a three-tier pyramidal palace. In 1398, Timur prayed at the Kotla Jama Masjid before sacking Delhi, later modeling his Samarkand mosque upon its design. Today, it is revered by locals who leave letters and petitions to Djinns.",The ancient golden-sheen Ashokan Pillar perched on top of the three-tiered pyramidal red stone palace structure.,images/5/image_1.jpg,images/5/image_2.jpg,images/5/image_3.jpg,images/5/image_4.jpg,images/5/image_5.jpg,"Bahadur Shah Zafar Marg, Vikram Nagar, Central New Delhi",October to March (Thursday evenings or sunny winter afternoons),"₹20 (Indians), ₹250 (Foreigners)",4.3,28.635,77.242,Archaeological Survey of India (ASI),"Name: Feroz Shah Kotla Fort. Category: Historical Fort & Ashokan Pillar. Description: The 14th-century citadel of Firozabad featuring the 3rd-century BCE Ashokan Stone Pillar, Jama Masjid ruins, and a circular stepped baoli.. Location: Bahadur Shah Zafar Marg, Vikram Nagar, Central New Delhi. Best Time: October to March (Thursday evenings or sunny winter afternoons)."
6,Safdarjung Tomb,Historical Forts & Monuments,Historical Mausoleum / Late Mughal Architecture,"The last grand enclosed garden-tomb of the Mughal Empire, built in 1754 with ornate domed towers, marble detailing, and water pavilions.","Erected in 1754 by Nawab Shuja-ud-Daula for his father, Mirza Muqim Abul Mansur Khan (popularly known as Safdarjung), who was the powerful Subadar of Awadh and Prime Minister to Mughal Emperor Ahmad Shah Bahadur. Built in the late Charbagh style, the tomb represents the final expression of classic Mughal monumental architecture before imperial power fragmented into regional dynasties.",Front garden axis framing the central double-domed mausoleum flanked by ornate arched pavilions and reflective water pools.,images/6/image_1.jpg,images/6/image_2.jpg,images/6/image_3.jpg,images/6/image_4.jpg,images/6/image_5.jpg,"Safdarjung Airport Area, Lodhi Road, New Delhi",October to March (Sunset 5:00 PM – 6:30 PM under evening floodlights),"₹20 (Indians), ₹250 (Foreigners)",4.5,28.5893,77.2106,Archaeological Survey of India (ASI),"Name: Safdarjung Tomb. Category: Historical Mausoleum / Late Mughal Architecture. Description: The last grand enclosed garden-tomb of the Mughal Empire, built in 1754 with ornate domed towers, marble detailing, and water pavilions.. Location: Safdarjung Airport Area, Lodhi Road, New Delhi. Best Time: October to March (Sunset 5:00 PM – 6:30 PM under evening floodlights)."
7,Agrasen ki Baoli,Heritage & Leisure,Historical Stepwell / Architectural Heritage,A 60-meter long and 15-meter wide 14th-century historical stepwell featuring 108 stone steps arranged across three levels with arched niches.,Believed to have been originally commissioned by the legendary King Agrasen of the solar dynasty and reconstructed during the 14th-century Tughlaq or Lodi era. The stepwell functioned as both a water reservoir during seasonal droughts and a cool subterranean sanctuary for travelers and community gatherings. Its striking symmetrical stone arches make it one of Delhi's most celebrated architectural landmarks.,Steep descending perspective from the top entrance looking down the central 108 stone steps framed by dual-level stone arcade walls.,images/7/image 1.jpg,images/7/image 2.jpg,images/7/image 3.jpg,images/7/image 4.jpg,images/7/image 5.jpg,"Hailey Road, Near Connaught Place & Kasturba Gandhi Marg, New Delhi",September to April (Morning 9:00 AM – 11:00 AM before crowd build-up),Free,4.4,28.6262,77.2253,Archaeological Survey of India (ASI),"Name: Agrasen ki Baoli. Category: Historical Stepwell / Architectural Heritage. Description: A 60-meter long and 15-meter wide 14th-century historical stepwell featuring 108 stone steps arranged across three levels with arched niches.. Location: Hailey Road, Near Connaught Place & Kasturba Gandhi Marg, New Delhi. Best Time: September to April (Morning 9:00 AM – 11:00 AM before crowd build-up)."
8,Jantar Mantar,Historical Forts & Monuments,Historical Astronomical Observatory,An open-air astronomical observatory consisting of 13 architectural masonry instruments designed to track celestial movements and calculate solar time.,"Constructed in 1724 by Maharaja Jai Singh II of Jaipur on the orders of Mughal Emperor Muhammad Shah to revise and verify astronomical tables (Zij) and track the orbits of the sun, moon, and planets. Key instruments include the massive Samrat Yantra (giant sundial accurate to two seconds), Jai Prakash Yantra, Ram Yantra, and Misra Yantra. It remains a marvel of 18th-century scientific engineering.",Dramatic geometric profile of the 21-meter high Samrat Yantra sundial gnomon angled against the sky.,images/8/image 1.jpg,images/8/image 2.jpg,images/8/image 3.jpg,images/8/image 4.jpg,images/8/image 5.jpg,"Sansad Marg, Connaught Place, New Delhi",October to March (Midday when sundials cast clear solar shadows),"₹20 (Indians), ₹250 (Foreigners)",4.4,28.6271,77.2165,Archaeological Survey of India (ASI),"Name: Jantar Mantar. Category: Historical Astronomical Observatory. Description: An open-air astronomical observatory consisting of 13 architectural masonry instruments designed to track celestial movements and calculate solar time.. Location: Sansad Marg, Connaught Place, New Delhi. Best Time: October to March (Midday when sundials cast clear solar shadows)."
9,Rajon ki Baoli,Heritage & Leisure,Historical Stepwell / Medieval Architecture,"A four-tier medieval stepwell located deep inside Mehrauli Archaeological Park, celebrated for its intricate pillared arcades and peaceful ambiance.","Constructed in 1506 AD by Daulat Khan during the reign of Sultan Sikandar Lodi. The name 'Rajon ki Baoli' derives from the masons (raj-mistris) who used its chambers. The complex includes an adjoining mosque and a canopy tomb with incised plaster decoration, representing refined late-Sultanate water-management architecture.",Descending view of the symmetrical tiered arcades reflected in the deep emerald-green water reservoir.,images/9/image_1.jpeg,images/9/image_2.jpeg,images/9/image_3.jpg,images/9/image_4.jpeg,images/9/image_5.jpg,"Mehrauli Archaeological Park, South Delhi",October to March (Morning 8:00 AM – 11:00 AM),Free,4.5,28.5196,77.181,Archaeological Survey of India (ASI),"Name: Rajon ki Baoli. Category: Historical Stepwell / Medieval Architecture. Description: A four-tier medieval stepwell located deep inside Mehrauli Archaeological Park, celebrated for its intricate pillared arcades and peaceful ambiance.. Location: Mehrauli Archaeological Park, South Delhi. Best Time: October to March (Morning 8:00 AM – 11:00 AM)."
